,0
0,2261.60009765625
1,2268.179931640625
2,2271.139892578125
3,2273.590087890625
4,2269.719970703125
5,2268.60009765625
6,2271.139892578125
7,2272.739990234375
8,2269.139892578125
9,2269.139892578125
10,2271.89990234375
11,2269.9599609375
12,2267.780029296875
13,2267.8798828125
14,2288.8798828125
15,2298.6298828125
16,2299.02001953125
17,2286.010009765625
18,2274.02001953125
19,2285.590087890625
20,2276.68994140625
21,2288.5400390625
22,2294.280029296875
23,2295.8701171875
24,2289.550048828125
25,2296.699951171875
26,2312.27001953125
27,2321.719970703125
28,2326.1201171875
29,2335.580078125
30,2349.639892578125
31,2343.010009765625
32,2354.909912109375
33,2361.110107421875
34,2367.5
35,2355.72998046875
36,2365.22998046875
37,2366.080078125
38,2380.1298828125
39,2394.75
40,2380.919921875
41,2375.22998046875
42,2370.739990234375
43,2369.81005859375
44,2363.489990234375
45,2372.52001953125
46,2371.56005859375
47,2368.550048828125
48,2370.340087890625
49,2387.7099609375
50,2383.7099609375
51,2378.239990234375
52,2379.320068359375
53,2343.0
54,2345.969970703125
55,2350.419921875
56,2329.110107421875
57,2339.7900390625
58,2356.5400390625
59,2361.31005859375
60,2364.820068359375
61,2362.340087890625
62,2354.760009765625
63,2366.590087890625
64,2353.7900390625
65,2356.590087890625
66,2357.159912109375
67,2353.919921875
68,2352.14990234375
69,2341.97998046875
70,2332.6201171875
71,2342.530029296875
72,2346.7900390625
73,2342.68994140625
74,2354.739990234375
75,2370.330078125
76,2381.510009765625
77,2388.97998046875
78,2389.699951171875
79,2393.679931640625
80,2388.5
81,2391.050048828125
82,2386.5
83,2389.7900390625
84,2392.3701171875
85,2399.93994140625
86,2401.580078125
87,2396.7900390625
88,2394.840087890625
89,2392.43994140625
90,2393.97998046875
91,2404.550048828125
92,2382.949951171875
93,2354.68994140625
94,2371.3701171875
95,2387.2099609375
96,2397.0400390625
97,2401.409912109375
98,2409.5400390625
99,2414.5
100,2411.669921875
101,2415.6298828125
102,2415.64990234375
103,2431.280029296875
104,2437.830078125
105,2431.919921875
106,2432.030029296875
107,2434.27001953125
108,2436.389892578125
109,2425.8798828125
110,2434.14990234375
111,2443.75
112,2424.139892578125
113,2431.239990234375
114,2442.550048828125
115,2450.659912109375
116,2439.31005859375
117,2437.39990234375
118,2434.64990234375
119,2443.320068359375
120,2436.340087890625
121,2428.699951171875
122,2442.3798828125
123,2429.199951171875
124,2431.389892578125
125,2430.780029296875
126,2423.43994140625
127,2413.52001953125
128,2424.510009765625
129,2427.35009765625
130,2435.75
131,2444.989990234375
132,2449.159912109375
133,2459.5
134,2455.8798828125
135,2463.85009765625
136,2475.56005859375
137,2467.39990234375
138,2472.0400390625
139,2477.8798828125
140,2479.969970703125
141,2482.760009765625
142,2469.1201171875
143,2475.93994140625
144,2477.10009765625
145,2480.3798828125
146,2476.030029296875
147,2476.8798828125
148,2477.139892578125
149,2478.35009765625
150,2465.35009765625
151,2465.3798828125
152,2441.0400390625
153,2454.9599609375
154,2468.659912109375
155,2468.6298828125
156,2462.949951171875
157,2427.639892578125
158,2425.5
159,2433.75
160,2444.8798828125
161,2447.909912109375
162,2444.719970703125
163,2447.35009765625
164,2431.93994140625
165,2446.06005859375
166,2462.64990234375
167,2474.419921875
168,2470.35009765625
169,2463.830078125
170,2468.06005859375
171,2462.25
172,2474.52001953125
173,2491.93994140625
174,2493.889892578125
175,2494.56005859375
176,2495.669921875
177,2502.510009765625
178,2506.2900390625
179,2506.840087890625
180,2507.159912109375
181,2497.260009765625
182,2499.389892578125
183,2501.0400390625
184,2503.300048828125
185,2503.409912109375
186,2509.9599609375
187,2521.199951171875
188,2530.340087890625
189,2533.47998046875
190,2540.860107421875
191,2547.43994140625
192,2551.389892578125
193,2549.989990234375
194,2550.6201171875
195,2552.8798828125
196,2555.659912109375
197,2555.570068359375
198,2557.169921875
199,2562.8701171875
200,2553.389892578125
201,2567.56005859375
202,2578.080078125
203,2568.659912109375
204,2566.52001953125
205,2560.080078125
206,2570.260009765625
207,2577.75
208,2575.989990234375
209,2583.2099609375
210,2579.4599609375
211,2581.929931640625
212,2587.469970703125
213,2592.110107421875
214,2588.7099609375
215,2584.0
216,2580.179931640625
217,2576.530029296875
218,2577.75
219,2569.449951171875
220,2572.949951171875
221,2582.93994140625
222,2579.489990234375
223,2589.169921875
224,2600.31005859375
225,2600.419921875
226,2602.659912109375
227,2605.93994140625
228,2627.820068359375
229,2633.929931640625
230,2645.10009765625
231,2657.18994140625
232,2639.780029296875
233,2626.239990234375
234,2628.3798828125
235,2646.2099609375
236,2652.18994140625
237,2661.72998046875
238,2667.590087890625
239,2665.8701171875
240,2660.6298828125
241,2685.919921875
242,2692.7099609375
243,2688.179931640625
244,2683.02001953125
245,2684.219970703125
246,2679.090087890625
247,2682.10009765625
248,2686.10009765625
249,2689.14990234375
